"id","catalogueNumber","scientificNameIntepreted","latitude","longitude","coordinateUncertaintyInMetres","month","year","basisOfRecord"
"c36e733e-bb84-45e2-862d-636c93c5d071","SPJGI3700370","Argyrodendron trifoliolatum",-30.4052520269777,152.998272,100,6,2009,"HUMAN_OBSERVATION"
"c424d6b2-f5ca-4288-85cd-d2d0dbae7c82","SPJGI3546985","Argyrodendron trifoliolatum",-28.3472400235961,152.72261,100,3,1992,"HUMAN_OBSERVATION"
"c44d308f-f6ec-4303-a7e7-dd1610d84d65","SPJGI3552933","Argyrodendron trifoliolatum",-28.9201470245467,153.468752,100,11,1983,"HUMAN_OBSERVATION"
"c4862486-cf21-477d-abc2-450f355d6274","SPJGI3524536","Argyrodendron trifoliolatum",-28.6185820240469,152.8681,100,3,1992,"HUMAN_OBSERVATION"
"c4eacf39-1db0-4bf7-b372-0e664838f412","SPJGI2966450","Argyrodendron trifoliolatum",-28.364569023625,152.759201,100,2,1994,"HUMAN_OBSERVATION"
"c5580ba7-4ed8-4c46-a29d-716bfd38b758","SPJGI6116542","Argyrodendron trifoliolatum",-28.4137290237067,153.030252,10,5,2019,"HUMAN_OBSERVATION"
"c55a6d96-d234-40fe-a974-b17434539d2b","SAOH18071153","Argyrodendron trifoliolatum",-28.6046830240239,152.712249,10,6,2018,"HUMAN_OBSERVATION"
"c59e149f-74e3-4138-889c-45cb3f4cd50d","","Argyrodendron trifoliolatum",-26.8025,152.713333,400,3,2005,"UNKNOWN"
"c5c57846-d240-4b3e-b22a-ccbdf2895974","893","Argyrodendron trifoliolatum",-27.530086,152.972511,NA,NA,NA,"OBSERVATION"
"c5d8c5f8-0b6c-499a-930c-de569ee1fcc2","SPJGI5355362","Argyrodendron trifoliolatum",-28.3785460236482,152.828327,10,6,2018,"HUMAN_OBSERVATION"
"c61682e1-948f-4c2e-8114-a2157a083bc2","SPJGI2811698","Argyrodendron trifoliolatum",-28.4665140237944,153.172445,1000,1,1994,"HUMAN_OBSERVATION"
"c73678f2-05f7-4d39-a607-2d822b82fcc3","SPJGI3547523","Argyrodendron trifoliolatum",-28.5184540238807,153.23656,100,3,1992,"HUMAN_OBSERVATION"
"c798da06-680f-4022-864a-de95ee0e5b7f","SAOH1708021F","Argyrodendron trifoliolatum",-28.4624700237877,153.176773,10,6,2017,"HUMAN_OBSERVATION"
"c7cdf599-6bd1-4d43-bc2e-9817bc456f35","SJJSI0392605","Argyrodendron trifoliolatum",-28.5684510239637,153.311977,10,6,2017,"HUMAN_OBSERVATION"
"c8073309-7e2d-4530-8cf6-829452f862f6","SPJGI3525916","Argyrodendron trifoliolatum",-30.2445250267177,153.09906,100,3,1992,"HUMAN_OBSERVATION"
"c8d09b8b-b280-4ebc-a37b-0f6cfe009838","","Argyrodendron trifoliolatum",-28.173658,153.229007,150,9,2006,"UNKNOWN"
"c8d629ef-df6a-4538-b7d0-661c73f5e547","SPJGI3545987","Argyrodendron trifoliolatum",-30.125074026524,152.92006,100,12,1980,"HUMAN_OBSERVATION"
"c8dae002-5a8a-4d06-975f-3df8fceadf90","SAOH17072718","Argyrodendron trifoliolatum",-28.7970080243428,153.285451,10,5,2017,"HUMAN_OBSERVATION"
"ca45dc01-c0e9-4c0e-83be-f4cc7d55ba20","SAOH1605200Y","Argyrodendron trifoliolatum",-30.2369110267054,152.966482,8,12,2015,"HUMAN_OBSERVATION"
"cac29b4f-ec29-42fa-afcb-3c09ff4ec819","SJJSI0394069","Argyrodendron trifoliolatum",-28.8103190243649,153.29679,10,6,2017,"HUMAN_OBSERVATION"
"cae15a1d-f94b-4e02-bd34-614931409e88","SCOS1804050H","Argyrodendron trifoliolatum",-28.7479030242614,153.413301,9,2,2018,"HUMAN_OBSERVATION"
"cb2d05b8-1b00-490e-bd5d-9153d0d2fb9a","SAOH17062625","Argyrodendron trifoliolatum",-28.695191024174,153.423238,10,5,2017,"HUMAN_OBSERVATION"
"cb5ea218-d158-474d-8206-b05e16ac980e","SPJGI6116820","Argyrodendron trifoliolatum",-28.4081790236975,153.021317,10,5,2019,"HUMAN_OBSERVATION"
"cb790dfb-729f-4a8a-bc87-2d7fc61eb459","SJJSI0196617","Argyrodendron trifoliolatum",-28.6612370241177,153.294404,1000,4,2010,"HUMAN_OBSERVATION"
"cb967662-d80f-4a0f-ac56-32c9062fbb8f","SAOH1605211O","Argyrodendron trifoliolatum",-28.7167400242098,153.104624,9,1,2016,"HUMAN_OBSERVATION"
"cbbc8b97-046c-470b-bf30-3ddb54bc1b4d","SPJGI5295528","Argyrodendron trifoliolatum",-28.6941110241722,153.408954,9,1,2018,"HUMAN_OBSERVATION"
"cbef52b8-4ea5-4aef-8aed-a2fac968ef5a","SPJGI2807265","Argyrodendron trifoliolatum",-28.4666750237947,153.172673,100,8,1995,"HUMAN_OBSERVATION"
"cc6fe92a-d77c-4f7c-9f7c-cf8a7fe94590","SPJGI2964638","Argyrodendron trifoliolatum",-28.3970450236789,153.252184,100,8,1994,"HUMAN_OBSERVATION"
"cca662a1-1dfc-449b-88ea-0c4a409d0f7b","SAOH1708024Y","Argyrodendron trifoliolatum",-28.3446520235918,153.290031,10,4,2017,"HUMAN_OBSERVATION"
"ccc613c4-8679-4a8d-9235-04bf3462e41d","66773132","Argyrodendron trifoliolatum",-30.403352,152.986871,2,12,2020,"HUMAN_OBSERVATION"
"cce49552-89a8-4119-a7b7-ee22dd058182","SAOH19072403","Argyrodendron trifoliolatum",-28.3983440236811,153.236702,10,7,2019,"HUMAN_OBSERVATION"
"cd0c35e5-bbb3-4e18-88c5-162ba36f8808","SAOH1708016Q","Argyrodendron trifoliolatum",-28.2465130234286,153.296448,10,6,2017,"HUMAN_OBSERVATION"
"cd0d6bac-095d-4ca4-b736-030804041110","89438457","Argyrodendron trifoliolatum",-30.394546,152.767927,2,8,2021,"HUMAN_OBSERVATION"
"cd7c4962-4189-4ad7-9ebf-98991111b8e9","SEMMI0019067","Argyrodendron trifoliolatum",-28.5141220238735,153.422918,5,5,2009,"HUMAN_OBSERVATION"
"cda03765-27f7-4b03-ad72-34e6f0caed2d","SJJSI0392866","Argyrodendron trifoliolatum",-28.560767023951,153.316975,10,6,2017,"HUMAN_OBSERVATION"
"ce258b36-5fca-40e7-b3b8-5c28f9098a8a","SPJGI5295706","Argyrodendron trifoliolatum",-28.7031780241873,153.404618,4,1,2018,"HUMAN_OBSERVATION"
"cf28ba96-37e5-4acc-861c-dc5febf4c1c9","SPJGI4425448","Argyrodendron trifoliolatum",-30.3283620268535,152.892942,100,10,1991,"HUMAN_OBSERVATION"
"cf692bec-4383-4c03-8bb2-993b4fb0c8d3","SPJGI2961839","Argyrodendron trifoliolatum",-28.386228023661,153.243993,100,7,1994,"HUMAN_OBSERVATION"
"cfb4189f-61da-42fc-9df4-e8abf0e027e9","SPJGI3881008","Argyrodendron trifoliolatum",-28.3385940235818,152.946988,100,11,1997,"HUMAN_OBSERVATION"
"d1699b19-acc2-4769-82b2-cac0f8b9de88","SPJGI3528690","Argyrodendron trifoliolatum",-28.4001650236841,153.281878,100,3,1992,"HUMAN_OBSERVATION"
"d20e0d63-29ed-4fff-88a4-3dcfea537497","SPJGI2811770","Argyrodendron trifoliolatum",-28.4665160237944,153.170739,1000,1,1994,"HUMAN_OBSERVATION"
"d23c8096-50af-48bd-9727-6db3003683b0","","Argyrodendron trifoliolatum",-26.970139,152.685,350,3,1993,"UNKNOWN"
"d282d338-00cd-4e53-93d4-5c6eef748bd0","","Argyrodendron trifoliolatum",-28.178611,153.424444,250,3,2000,"UNKNOWN"
"d2cb664e-e161-408b-8a32-b3d58190a579","66990486","Argyrodendron trifoliolatum",-25.277128,152.746628,50,12,2020,"HUMAN_OBSERVATION"
"d313504f-bed3-4908-847f-142009645438","SPJGI5295583","Argyrodendron trifoliolatum",-28.6968060241767,153.404276,7,1,2018,"HUMAN_OBSERVATION"
"d395f646-a51f-4224-91ec-04284f1721c0","SJJSI0395271","Argyrodendron trifoliolatum",-28.9036000245193,153.410221,10,6,2017,"HUMAN_OBSERVATION"
"d3a14033-d098-4978-861a-27c8c4416243","SJJSI0393655","Argyrodendron trifoliolatum",-28.7780650243114,153.332823,10,5,2017,"HUMAN_OBSERVATION"
